연번,업소명,소재지,소재지전화번호
1,가락돈까스,서울특별시 동작구 장승배기로 75,00-0000-0000
2,가마솥손두부,서울특별시 동작구 남부순환로271길 20,02-3472-2202
3,가장맛있는족발(본사직영점),서울특별시 동작구 상도로 4,02-823-3989
4,거구장,서울특별시 동작구 흑석로 101-7,02-815-4725
5,거구회관,"서울특별시 동작구 등용로14길 76, 1층",02-827-0911
6,경아식당 노량진점,"서울특별시 동작구 만양로18길 10, 2층",00-0000-0000
7,계단집,서울특별시 동작구 현충로 94,02-0821-9867
8,고기스토리 중앙대점,서울특별시 동작구 흑석로8길 4,00-0000-0000
9,고추찜닭,서울특별시 동작구 동작대로27가길 14,02-592-1125
10,광어삼촌,"서울특별시 동작구 상도로37길 62, 1층",00-0000-0000
11,구름산추어탕,"서울특별시 동작구 사당로30길 158-4, 지하1층",02-0521-1224
12,구름산추어탕,"서울특별시 동작구 성대로1길 22, 지상1층",02-822-2719
13,군선생 이수점,서울특별시 동작구 동작대로23길 17,02-587-5242
14,권참치,"서울특별시 동작구 사당로30길 142, 2층",02-597-7080
15,그릴진,"서울특별시 동작구 동작대로27다길 31, 1층 101호",02-532-4135
16,김종구참치박사,"서울특별시 동작구 동작대로 25-1, 1층",02-523-9261
17,꼬목집,"서울특별시 동작구 사당로 253-3, 1층",00-0000-0000
18,꽁칼,서울특별시 동작구 노량진로 162,00-0000-0000
19,내가찜한닭,"서울특별시 동작구 흑석로 87, 지상2층",02-823-4400
20,내고향나주곰탕,서울특별시 동작구 사당로 183,02-3476-2999
21,네모오징어 신대방삼거리역점,서울특별시 동작구 여의대방로24길 107,02-823-8589
22,노들가,"서울특별시 동작구 만양로18길 23, 1층",02-823-8489
23,다독이네 숯불구이,"서울특별시 동작구 노량진로 106-5, 1층",02-817-7789
24,다독이네 숯불구이 2호점,"서울특별시 동작구 만양로18길 15, 1층",02-822-1370
25,다원 맛칼국수,"서울특별시 동작구 상도로62길 29, 1층",00-0000-0000
26,다채,"서울특별시 동작구 알마타길 6, 지하1층 113호,114호",02-815-3392
27,단아한정식,"서울특별시 동작구 동작대로27가길 44, 영지빌딩 2층",02-532-3946
28,담소소사골순대 노량진점,"서울특별시 동작구 노량진로16길 27, 1층",02-812-1821
29,대방싸리집,"서울특별시 동작구 여의대방로26길 24, 201,301호",02-821-2951
30,대방회집,서울특별시 동작구 여의대방로 134-1,02-823-1949
31,대복 삼겹살,"서울특별시 동작구 사당로17가길 8, 1층",02-534-9984
32,돈식당,서울특별시 동작구 사당로17길 7,00-0000-0000
33,돼지학교,"서울특별시 동작구 상도로 63, 진성마블로스 1층 101호",00-0000-0000
34,두루찌개3대,"서울특별시 동작구 노량진로8길 55, 1층 101호, 더 클래식 동작",02-814-3444
35,등촌칼국수 상도점,"서울특별시 동작구 상도로 121, 영진빌딩 1층 101호",00-0000-0000
36,또우리,"서울특별시 동작구 서달로14길 30, 1,2층",02-817-0128
37,뚱보 생 막창,"서울특별시 동작구 양녕로 269, 1층",02-813-0443
38,라이스앤파스타,서울특별시 동작구 보라매로5가길 16,02-6269-7878
39,라화방,서울특별시 동작구 동작대로27길 22,02-591-4655
40,마라농장,"서울특별시 동작구 장승배기로 138, 1층",00-0000-0000
41,마라도아구찜,"서울특별시 동작구 여의대방로22가길 11, 2층",00-0000-0000
42,마포숯불갈비,서울특별시 동작구 보라매로 112,02-821-3330
43,명갈비,서울특별시 동작구 상도로31길 83,02-822-7656
44,명동국수,서울특별시 동작구 상도로41길 12,00-0000-0000
45,미자식당,"서울특별시 동작구 노들로 674, 지상2층 8호",02-815-0324
46,미태리파스타 중앙대점,"서울특별시 동작구 서달로 159, 1층",00-0000-0000
47,밀숲노량진역점,서울특별시 동작구 만양로14길 6-1,02-814-6934
48,백제갈비,서울특별시 동작구 사당로 231,02-537-0660
49,벚꽃스시,"서울특별시 동작구 상도로30길 40, B동 1층 114호, 상도2차두산위브트레지움아파트",00-0000-0000
50,별미 냉삼,서울특별시 동작구 동작대로7길 34,02-521-0177
51,봉평메밀막국수,"서울특별시 동작구 사당로 215, 2층 202호",02-532-3643
52,사리원유승배만두,서울특별시 동작구 상도로50길 2-15,02-814-6022
53,산천칡냉면,"서울특별시 동작구 사당로12길 2, 2층",00-0000-0000
54,서울식당,서울특별시 동작구 사당로30길 154,02-522-9293
55,서평면옥,"서울특별시 동작구 보라매로5길 15, 전문건설회관빌딩 지하1층",02-3284-3677
56,세종대왕숯불갈비,서울특별시 동작구 여의대방로 136,02-823-2517
57,세종대왕숯불갈비,서울특별시 동작구 등용로 2,02-812-3260
58,소담,"서울특별시 동작구 흑석로 102, 중앙대학교병원 지하1층 B105호",02-822-1456
59,순천집,"서울특별시 동작구 노량진로 80, 2층, 노량진큐브스테이트",02-817-3222
60,시골집,"서울특별시 동작구 양녕로26길 56, 2층 ,1층 나동 1호",02-821-8889
61,시래불고기 화풍정,서울특별시 동작구 상도로 102,02-814-3392
62,신의주찹쌀순대,서울특별시 동작구 상도로 219,02-822-1188
63,신짱스시,"서울특별시 동작구 상도로30길 8, 2층",02-3280-8301
64,쌈반,"서울특별시 동작구 사당로 215, 서림빌딩2층 201호",02-3477-7225
65,씨제이푸드빌(주)빕스 대방점,서울특별시 동작구 노량진로 2,02-3280-1997
66,어촌,"서울특별시 동작구 상도로 122, 1층",02-822-3619
67,영주네,"서울특별시 동작구 동작대로29가길 15, 1층",00-0000-0000
68,영흥정육식당,서울특별시 동작구 만양로 85-1,02-813-1662
69,옛날그집,"서울특별시 동작구 장승배기로 121-2, 1층",02-827-0678
70,옥소반 보라매공원점,"서울특별시 동작구 보라매로5가길 16, 보라매아카데미타워 214호",02-835-9278
71,와가마마,서울특별시 동작구 만양로14길 12,02-823-2225
72,용마골,서울특별시 동작구 등용로 17,02-815-9085
73,원미명태촌,"서울특별시 동작구 상도로56길 2, 1층",00-0000-0000
74,원조마포갈비,서울특별시 동작구 노량진로8길 35,02-824-5830
75,원할머니보쌈족발 이수역점,서울특별시 동작구 동작대로27나길 22,02-3476-5252
76,유정우함흥냉면,"서울특별시 동작구 동작대로29다길 7-1, 1층",02-3478-0105
77,육대장 푸줏간 이수역점,"서울특별시 동작구 동작대로31길 17, 새소망믿음기도원 1층",00-0000-0000
78,은혜식당,"서울특별시 동작구 사당로9가길 55, B203호",02-592-8007
79,이탈리안 돈까스,"서울특별시 동작구 흑석로 24, 2층",00-0000-0000
80,장수촌,"서울특별시 동작구 사당로17가길 16, 영아탕 여관 1층",00-0000-0000
81,정동진,서울특별시 동작구 만양로 85,02-815-2250
82,정선메밀고을,"서울특별시 동작구 양녕로26길 63, 2층",02-811-0730
